address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
2973 W Rome Ave,811sqft Detached Accessory Dwelling Unit,[DEV2019-00028],Residential,In Review,3/25/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
138 S Gilbert St,Cup For Transitional Living Home,[DEV2019-00029] RESTORATION HOUSE,Other,In Review,3/26/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3845 E Coronado St,"36,544 Sqft Addition To Exisitng Manufacturing Facility",[DEV2019-00032] PRECISION PLASTICS,Industrial,In Review,3/27/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
201 S Walnut St,The Applicant Requests Approval Of A Tentative Parcel Map To Establish A 2-Lot Single Family Residential Subdivision.,[DEV2019-00033] WALNUT MULTI FAMILY,Residential,Approved,3/28/2019,skoehm@anaheim.net,(714) 765-5395,Anaheim,Scott Koehm
1730 S Anaheim Way,11038 Square Feet Addition To Existing Wharehouse With Accessory Office,[DEV2019-00035] ROSENDIN ELECTRIC,Other,In Review,4/1/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
255 S Euclid St,Cdr Review Of A New Multi Tenant Building To Replace A Parking Lot For An Existing Retail Center.,[DEV2019-00036] MULTI TENANT AT EUCLID/BROADWA,Other,In Review,4/2/2019,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
350 S Anaheim Blvd,Mcup To Permit 3 Retail Kiosk,[DEV2019-00039] FARMERS PARK,Commercial,Approved,4/10/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1521 W Broadway,Minor Cup To Establish An Office Use With Accessory Outdoor Vehicle Storage In The Industrial Zone.,[DEV2019-00041] STRACK OFFICE,Other,Approved,4/16/2019,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
2501 E Ball Rd,"The Applicant Requests Approval Of The Following Land Use Entitlements: (I) A Conditional Use Permit To Construct A New 24-Hour Convenience Market With Gas Sales And An Express Carwash With Ancillary Vacuums, (Ii) An Associated Determination Of Public Convenience Or Necessity To Permit Off-Premises Sales Of Alcoholic Beverages, And (Iii) A Tentative Parcel Map To Consolidate Three Parcels Into Two Lots.",[DEV2019-00042] NEC BALL & SUNKIST,Commercial,Approved,4/16/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3530 E La Palma Ave,"Tenant Improvement To Leasing Office, Fitness Center, And Other Recreational Areas.",[DEV2019-00043] THE OASIS TENANT IMPROVEMENT,Residential,In Review,4/17/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1413 S Sylvan St,New Construction Of A Detached Accessory Dwelling Unit (795 Sf Total) On A Property With A Single-Family Dwelling,[DEV2019-00047] ADU FOR 1413 S SYLVAN ST,Residential,In Review,4/23/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2655 W Keys Ln,New 560 Sq. Ft. Accessory Dwelling Unit.,[DEV2019-00050] KEYS ADU,Residential,In Review,4/29/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1216 S Feather St B,629 Sqft Detached Accessory Dwelling Unit,[DEV2019-00051],Residential,In Review,4/30/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2100 E Howell Ave 108,"A Minor Conditional Use Permit To Permit Office Uses Within Suites 108-113 In An Existing Building At 2100 E Howell, And Suites 401-406 In The Existing Building At 2120 E Howell",[DEV2019-00055] STADIUM LANDING,Other,Approved,5/3/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2181 W Katella Ave,A Conceptual Development Review For A 2500 Sq. Ft. Restaurant Building And Associated Site Improvements.,[DEV2019-00057] 2181 KATELLA,Commercial,In Review,5/7/2019,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
3501 W Ball Rd,A Conceptual Development Review Application For A New Popeyes With A Drive-Through Facility (Remodel Of The Existing Building),[DEV2019-00060] PLK ANAHEIM - BALL RD,Commercial,In Review,5/13/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
200 S Anaheim Blvd,"A City-Initiated Amendment To Title 18 (Zoning) Of The Anaheim Municipal Code Modifying Section 18.38.125 (Emergency Shelter And Recuperative Care/Medical Respite) Of Chapter 18.38 (Supplemental Use Regulations) To Allow Transitional And Supportive Housing To Co-Locate With An Emergency Shelter, Subject To The Approval Of A Conditional Use Permit.",[DEV2019-00061] ZCA TO EMERGENCY SHELTER ORD.,Residential,Approved,5/14/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
411 N Lakeview Ave,The Applicant Requests Approval To Exceed The Maximum Height Within The Scenic Corridor (Sc) Overlay Zone To Replace A 50-Foot High Monopole Wireless Communications Facility With A New 70-Foot High Stealth Facility.,[DEV2019-00065] SPRINT - KAISER RELOCATION,Commercial,Approved,5/22/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1325 S Euclid St,"The Applicant Requests Approval Of A Variance To Permit A Front Landscape And Structural Setback Less Than Permitted By The Municipal Code To Permit The Construction Of A 3,853 Square Foot One-Story Office Building.",[DEV2019-00066] EUCLID OFFICE BUILDING,Other,Approved,5/23/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
928 E South St,Permit A Towing Business With An Outdoor Storage Yard,[DEV2019-00069] INTERNATIONAL TOWING SERVICES,Other,In Review,5/28/2019,CNGUYEN2@ANAHEIM.NET,(714) 765-4942,Anaheim,Christine Nguyen
953 S Pepper St,Accessory Dwelling Unit On A Single-Family Property,[DEV2019-00075] ADU FOR 953 S PEPPER,Residential,In Review,6/10/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1302 E Merona Pl B,Detached Accessory Dwelling Unit On A Single-Family Property,[DEV2019-00079] ADU FOR 1302 E MERONA PL,Residential,In Review,6/13/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
231 E Palais Rd,Conceptual Development Review To Permit A Day Care Center For Children Within An Existing Industrial Building,[DEV2019-00085] BESWICK KIDS' CENTER,Commercial,Withdrawn,6/24/2019,CMGuiam@anaheim.net,(714) 765-5149,Anaheim,Charles Guiam
200 S Anaheim Blvd,Needle Exchange Program,[DEV2019-00090] NEEDLE EXCHANGE PROGRAM,Other,In Review,6/26/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2595 W Lincoln Ave,"The Applicant Requests Approval Of The Following Land Use Entitlements: (I) A Conditional Use Permit To Demolish An Existing Commercial Building And Construct A New 2,000 Square Foot Coffee Shop With A Drive-Through Lane And Outdoor Patio; (Ii) A Variance To Allow Fewer Parking Spaces Than Required By The Code; And (Iii) An Administrative Adjustment To Permit Front And Interior Landscape Setbacks Less Than Required By The Code.",[DEV2019-00093] LINCOLN & MAGNOLIA STARBUCKS,Commercial,Approved,7/3/2019,CNGUYEN2@ANAHEIM.NET,(714) 765-4942,Anaheim,Christine Nguyen
1250 N Euclid St,"The Applicant Requests Approval Of A Conditional Use Permit To Demolish Existing Commercial Buildings And Construct A New 3,730 Square Foot Express Carwash With Ancillary Vacuums, And A Variance To Permit Architectural Pylon Features Which Exceed The Maximum Structural Height Adjacent To A Residential Zone.",[DEV2019-00097] GOOGIE CARWASH,Other,Approved,7/10/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
403 S Claudina St,Two New Attached Dwelling Units,[DEV2019-00098],Residential,In Review,7/12/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
950 N Tustin Ave,Install Two New Freestanding  Electronic Readerboard Signs Along The Tustin Ave. Street Frontage,[DEV2019-00100] 950 S&E LLC - ELEC READERBOARD,Other,In Review,7/23/2019,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
932 N Wichita St,401 Sf Attached Garage Conversion And Addition,[DEV2019-00101] ATTACHED ADU,Residential,Approved,7/23/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
625 S Illinois St,Tpm To Consolidate 8 Parcels Into 3 Parcels And A Variance To Permit A Reduced Front Yard Setback For A 3-Lot  Single-Family Residential Subdivision,[DEV2019-00102] 625 S. ILLINOIS NEW SF HOMES,Residential,In Review,7/23/2019,CNGUYEN2@ANAHEIM.NET,(714) 765-4942,Anaheim,Christine Nguyen
727 S Beach Blvd,"47,323 Square Foot Remodel Of Existing Hotel Into A Holiday Inn Express.",[DEV2019-00106] HOLIDAY INN EXPRESS,Other,In Review,8/5/2019,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
1331 N East St,A Variance Request To Construct 6-Foot High Wrought Iron/Gate Within The Street Setback Area (~6.5' From The Prop Line),"[DEV2019-00108] TONY LAM, EAST ANAHEIM",Industrial,In Review,8/6/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
4226 E La Palma Ave,Office Ti For Main Electrical Supply,[DEV2019-00109],Other,In Review,8/7/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1455 S Salvation Pl,A Request For A Tentative Parcel Map For Financing Purposes Only For A New Permanent Supportive. Housing Development (72 Units) And Emergency Shelter (325 Beds),[DEV2019-00111] SALVATION ARMY PSH AND SHELTER,Residential,Approved,8/9/2019,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1140 N Louise Dr,420 Sq Ft To Convert Existing Attached Garage Into Studio With Kitchen And Bathroom - Accessory Dwelling Unit.,[DEV2019-00116] LOUISE STREET ADU,Residential,In Review,8/15/2019,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
5037 E Hunter Ave,"43,656 Office Demo For An Existing Industrial Building",[DEV2019-00117] BISCO INDUSTRIES,Industrial,In Review,8/19/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1130 S Tamarisk Dr,Cyf2 Sfd Rebuild,[DEV2019-00118],Residential,In Review,8/20/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1241 S Brookhurst St,"The Applicant Requests Approval Of A Variance To Permit Reduced Structural And Landscape Setbacks For A Remodeled 5,162 Square Foot Dental Office Building.",[DEV2019-00119] MEDICAL/DENTAL OFFICE,Commercial,Approved,8/20/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
224 N Beach Blvd,"The Applicant Requests Approval Of The Following Land Use Entitlements: (I) A Conditional Use Permit And Final Site Plan Approval To Permit 65 Single-Family Attached Residences With Modified Development Standards; (Ii) Approval For A Tentative Tract Map To Allow A One-Lot Subdivision With 65 ""Airspace"" Condominium Lots; And (Iii) A Variance To Allow A Vinyl Fence Where A Masonry Wall Would Be Required.",[DEV2019-00120] NOLIN AT 39 COMMONS,Residential,Approved,8/20/2019,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1767 W Orange Ave,"Reclassification Of Existing ""T"" Zone To Rs-4; Subdivision To Construct 6 Units;",[DEV2019-00123] TINH HOMES,Residential,In Review,8/22/2019,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1679 W Crescent Ave,"The Applicant Requests Approval To Amend A Conditional Use Permit To Replace An 80-Foot High Freeway-Oriented Freestanding Sign And Freestanding Monument Signs At The Anaheim Plaza Shopping Center, And A Variance To Exceed The Maximum Number Of Tenant Panels For The Freeway-Oriented Pylon Sign.",[DEV2019-00124] ANAHEIM PLAZA ELECTRONIC SIGN,Commercial,Approved,8/22/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3845 E Miraloma Ave A,"T.I. Of 808sf Of Office & 8,498 Of Warehouse",[DEV2019-00125] FAST SEMICONDUCTOR,Industrial,In Review,8/29/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2420 E Katella Ave,A Minor Conditional Use Permit Request To Amend The Existing Cup (Cup2014-05760) To Extend The Beer And Wine Sales Into The New Outdoor Patio,[DEV2019-00126] LAMILL COFFEE,Commercial,Approved,8/29/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1431 E La Palma Ave,To Revise The Site Plan For A Previously-Approved Bed And Breakfast Inn Within An Existing Historic Home.  The Site Plan Revisions Include The Addition Of A New Swimming Pool And The Modification Of A Driveway And Parking Spaces.,[DEV2019-00127] LA PALMA BED & BREAKFAST,Commercial,Approved,8/30/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
424 S Atchison St Bldg 4,"Enclosing (E) 6,000 Sqft. Canopy With One Open Side (Ref: Bld2019-04313 9.7.23 Jmb)",[DEV2019-00128],Other,In Review,9/3/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
921 S Euclid St,"Change Of Use: 9,216 Sf. For First Time Build Out Of New Medical Office (B) ""Davita Healthcare"".",[DEV2019-00130] BALL & EUCLID PLAZA,Other,Withdrawn,9/4/2019,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
2300 E Katella Ave,"Site Upgrades To Include Ada Parking, Landscaping, Lighting And New Entry Store Front",[DEV2019-00133],Other,In Review,9/11/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2068 S Loara St,Minor Conditional Use Permit To Relocate Short Term Rental Permit From 1646 W. Ord Way To 2068 S. Loara Street,[DEV2019-00135] SHORT TERM RENTAL RELOCATION P,Residential,In Review,9/17/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
5037 E Hunter Ave,New T.I. For Office Expansion,[DEV2019-00137] BISCO INDUSTRIES,Industrial,In Review,9/20/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
721 S Anaheim Blvd,"The Applicant Requests Approval Of A Conditional Use Permit And An Associated Determination Of Public Convenience Or Necessity To Allow The On-Site Sale And Consumption Of Beer, Wine, And Distilled Spirits (Type 51 Abc License) For An Existing Private Fraternal Lodge To Members And Their Guests (Moose Lodge).",[DEV2019-00138] ANAHEIM MOOSE LODGE 1853,Commercial,Approved,9/20/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
910 S Western Ave,Ttm And A Cup To Permit The Construction Of 12 New Single Family Homes With Modified Development Standards,[DEV2019-00139] PEPPERWOOD PLACE,Residential,Approved,9/20/2019,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1400 S Douglass Rd 100,"6,355 Sqft. T.I. (Office Use)",[DEV2019-00140] ISUZU,Other,In Review,9/25/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2105 W Lullaby Ln,Detached 575 Sf Accessory Dwelling Unit,[DEV2019-00141] ADU FOR 2105 W LULLABY LN,Residential,In Review,9/26/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2975 E White Star Ave,Ti For Proposed Escape Room,[DEV2019-00142] THE EXIT GAME T.I.,Commercial,Approved,9/30/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3430 W Lincoln Ave,The Applicant Requests Approval Of A Variance To Permit A Wall Sign Which Exceeds The Maximum Sign Area Allowed By The Municipal Code In Conjunction With An Existing Retail Store.,[DEV2019-00144] GROCERY OUTLET SIGN VARIANCE,Commercial,Denied,10/8/2019,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1256 N Magnolia Ave,"Tenant Improvement For The Two Existing 514,000 Square Foot Buildings Which Includes Facade, Parking Lot, And Landscape Improvements.",[DEV2019-00146] GOODMAN TI,Industrial,In Review,10/11/2019,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
3360 W Lincoln Ave,"A Conversion Of An Existing 235-Room Hotel Into A Multi-Family Housing Project With 35 Permanent Supportive Housing Units, 100 Affordable Units, And 100 Market Rate Units.",[DEV2019-00149] 3360 LINCOLN AVENUE,Residential,In Review,10/16/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
801 E Katella Ave,"28,640 Sf Office Ti",[DEV2019-00150] OFFICE TI,Other,In Review,10/21/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
6140 E Santa Ana Canyon Rd,Conceptual Development Review To Subdivide One Parcel Into Four Parcels To Develop Four Single Family Homes; Request For A Zone Change From Transitional To Rs-3 Zone,[DEV2019-00151] BRISA DEL ODEANO,Residential,In Review,10/22/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
147 S Beach Blvd,Conceptual Development Review Of An Addition Of 11 Mobile Home Sites To Existing Mobile Home Park,[DEV2019-00152] PACIFIC SUNSET MOBILE ESTATES,Residential,In Review,10/28/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1332 S Claudina St,"25,200 Sf Ti",[DEV2019-00154] TI FOR INDUSTRIAL BLDG.,Other,In Review,10/29/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
221 S Magnolia Ave A,Minor Conditional Use Permit To Permit On-Sale Beer And Wine Service At An Existing Restaurant.,[DEV2019-00156] EL SAUZ TACOS Y MARISCOS,Other,Approved,11/5/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
125 E Ball Rd,A Request To Permit A Zoning Reclassification And A Conditional Use Permit To Construct A 120-Room Hotel And A Drive-Through Restaurant.,[DEV2019-00161] LA QUINTA INN & SUITES,Other,In Review,11/12/2019,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
4015 E Leaverton Ct,Minor Conditional Use Permit To Permit Minor Auto Repair In An Industrial Zone,[DEV2019-00164] EUROPEAN AUTO SOURCE,Other,Approved,11/13/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2780 W Ball Rd,"The Applicant Requests Approval Of A Conditional Use Permit To Permit A Smoking Lounge In A Commercial Tenant Space Located Less Than 200 Feet From A Residential Zone And Less Than 1,000 Feet From A School And A Variance To Permit Less Parking Spaces Than Required By The Municipal Code (Janna Café).",[DEV2019-00165] JANNAH CAFE,Commercial,Approved,11/13/2019,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1227 S Claudina St,Administrative Review For Approval Per Underlying Zone Standards For A New Bus Charging Facility For The Anaheim Transportation Network,[DEV2019-00166] ATN BUS CHARGING FACILITY,Commercial,In Review,11/14/2019,Planning@anaheim.net,(714) 765-4959,Anaheim,Arlette Kim
1551 W Lincoln Ave,Conceptual Development Review Of A New Maintenance Facility With Bus Washing For Anaheim Transportation Network,[DEV2019-00167] ATN MAINTENANCE FACILITY,Commercial,In Review,11/14/2019,Planning@anaheim.net,(714) 765-4959,Anaheim,Arlette Kim
122 W Broadway,A Cup To Permit A 32 Unit Apartment Building With Modified Standards On A 0.59 Acre Lot,BROADWAY TOWER APARTMENTS,Residential,In Review,11/14/2019,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2695 E Katella Ave,"8,802 Square Foot Ti For Locker Room And Office Areas",[DEV2019-00169] HONDA CENTER: NEW OFFICES,Commercial,In Review,11/14/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2230 E Lincoln Ave,"22,365 Square Foot Ti To Create 4th Tenant Space And Exterior Improvement",[DEV2019-00170],Other,In Review,11/19/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
5275 E Nohl Ranch Rd,Permit A Senior Living Facility - Large In The Rh-3 Zone With Fewer Parking Spaces Than Required By Code.,[DEV2019-00172] ANAHEIM HILLS SENIOR LIVING,Other,Approved,11/20/2019,skoehm@anaheim.net,(714) 765-5395,Anaheim,Scott Koehm
1150 W Magic Way,"The Applicant Requests Approval Of A Conditional Use Permit, Tentative Parcel Map, And Final Site Plan To Construct A 12-Story, 350-Unit Vacation Ownership Resort Development Adjacent To, And Integrated With, The Disneyland Hotel.",[DEV2019-00173] DISNEYLAND HOTEL TIMESHARE,Other,Approved,11/22/2019,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
898 W Lincoln Ave,"A Conditional Use Permit To Permit A 4-Story, 43-Unit Apartment Building",[DEV2019-00179] LINCOLN COLONY APARTMENTS,Residential,Approved,12/10/2019,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
3170 W Lincoln Ave 100,"28,665 Square Fot Ti For New Dmv",[DEV2019-00180],Commercial,In Review,12/10/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2006 E Lincoln Ave,"Tenant Improvement: Construct Demising Wall To Divide Unit 2230 And Create New Unit 2232. New Store Front Door For Unit 2230. Electrical, Mechanical And Plumbing Fixture Upgrade For Units 2230 & 2232 For Future Tenants. Remove Existing Canopies, Extend Parapet And Renovate Facade With New Stucco For All Units.",[DEV2019-00182] LINCOLN REMODEL,Other,In Review,12/16/2019,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
2300 E Katella Ave,Minor Cup For A Sign Program Within The Platinum Triangle.,[DEV2019-00183] STADIUM TOWERS SIGN PROGRAM,Other,Approved,12/17/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
200 N Beach Blvd,A Request For Final Site Plan Review Of Retail Developmet Of A Vacant 4.7 Acre Lot,39 COMMONS (COMMERCIAL),Other,In Review,12/18/2019,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
